start_lat,start_lon,end_lat,end_lon,distance_km,num_passengers,time_of_day,day_of_week,holiday_indicator,demand_supply_ratio,real_time_demand,driver_availability,surge_multiplier,traffic_delay_minutes,temperature_celsius,humidity,visibility,wind_speed,air_quality_index,fuel_price_per_liter,population_density,safety_score,infrastructure_development,event_ongoing,toll_charges,driver_rating,public_transport_proximity,fare_amount,compute_capability,device_ram,hashed_user_id,local_fare_variance,accuracy_drift_score
22.961291,72.576241,16.06213,76.0586,2.8,3,11,3,0,39.0,39,1,12.4,9.1,33.5,40.9,10.1,7.1,99,100.75,22,5.9,7.9,0,0.0,4.5,2.37,530.14,1.2,2,4427342966991566929,1.22,0.25
23.139739,72.537963,14.46693,75.92694,6.7,3,10,6,0,2.47,47,19,1.44,9.5,36.5,55.9,11.0,8.87619236252643,88,106.4,24,7.1,7.9,0,0.0,3.8,11.36,218.84,1.2,2,8996617037178234484,0.06,0.12
23.0095,72.616104,25.49043,85.94001,7.4,4,17,3,0,1.21,116,96,1.06,11.6,39.2,30.1,1.1,1.2,104,102.3,34,7.4,7.9,0,0.0,3.0,9.53,237.27,2.4,4,-3431244142402861619,-0.01,0.22
22.93768,72.55953,26.76628,83.36889,5.9,4,4,6,0,1.71,36,21,1.21,7.7,26.3,34.7,10.5,9.3,94,102.9,16,6.0,7.9,0,0.0,4.0,7.88,200.67,1.2,2,-2452923081242740236,0.12,0.46
23.078916,72.622394,11.12018,76.11996,14.2,2,2,1,0,4.5,36,8,2.05,10.9,39.0,44.9,13.0,1.7,91,101.7,23,7.2,7.9,1,0.0,4.2,6.97,489.83,2.4,4,3224704121859131093,1.05,0.41
23.126139,72.555116,25.87498,86.59611,7.3,2,16,0,0,2.35,40,17,1.41,12.6,39.8,44.6,7.7,2.5,108,99.3,26,5.9,7.9,0,0.0,4.7,4.24,216.57,2.4,4,8895848107154067469,0.12,0.1
23.052119,72.501328,9.82564,78.25795,3.8,3,2,5,0,7.5,45,6,2.95,5.8,21.7,40.3,0.2,16.8,107,105.35,25,6.5,7.9,0,0.0,3.9,6.28,236.64,1.2,2,1974837748119905470,0.01,0.14
23.06563,72.606464,10.10649,76.35484,4.3,1,3,2,0,6.17,37,6,2.55,12.2,37.8,55.5,9.7,20.7,110,103.15,24,6.2,7.9,0,0.0,3.6,5.7,224.16,1.2,2,7450216225768714309,0.07,0.27
22.953581,72.521762,19.30157,72.85107,2.6,3,0,6,0,2.29,48,21,1.39,7.3,38.3,31.2,0.9,14.1,91,102.4,21,6.9,7.9,0,0.0,1.9,11.28,150.74,1.2,2,-7827014965500061592,0.38,0.4
23.064619,72.557252,15.5439,73.7553,1.2,2,12,3,0,11.0,44,4,4.0,8.4,30.6,33.6,10.0,3.1,107,101.4,28,6.7,7.9,0,0.0,3.2,5.42,119.41,4.8,8,7577325874312278031,0.48,0.47
22.99066,72.569442,23.18,88.58,7.9,2,23,0,0,7.29,51,7,2.89,14.7,42.2,41.6,14.8,16.141150458440293,90,105.2,21,7.1,7.9,0,0.0,3.0,12.0,392.05,2.4,4,-7523576063148340942,0.65,0.29
23.129624,72.613106,19.21667,73.08333,5.8,1,21,4,0,32.0,32,1,10.3,9.3,32.6,40.5,7.5,4.5,116,106.35,22,5.8,7.9,0,0.0,3.0,1.7,744.55,2.4,4,5067046785191730124,2.09,0.48
23.002572,72.626664,26.2649,81.54855,3.2,6,10,0,0,1.62,47,29,1.19,18.9,30.8,41.4,9.7,11.0,79,99.75,31,5.9,7.9,0,0.0,4.6,4.61,183.51,2.4,4,-4651057399321446451,0.21,0.14
23.008639,72.587569,23.1959,86.51499,1.0,3,3,1,0,1.9,40,21,1.27,11.7,24.6,33.1,6.8,5.3,104,100.85,19,6.3,7.9,0,0.0,3.3,7.3,55.48,2.4,4,-5036552785916949245,0.8,0.35
22.97637,72.544881,30.81383,75.16878,10.9,2,6,0,0,36.0,36,1,11.5,4.4,33.7,32.9,9.2,6.1,109,99.95,31,6.3,7.9,0,0.0,3.3,8.54,1472.64,2.4,4,4666397219921646364,5.13,0.32
23.011969,72.614446,19.21667,73.08333,10.5,3,12,2,0,1.7,39,23,1.21,11.8,26.8,33.6,12.1,6.3,136,103.8,27,6.7,7.9,0,21.0,3.5,3.06,318.99,4.8,8,-3328251057363068235,0.37,0.04
23.027571,72.616149,26.76628,83.36889,20.3,2,1,4,0,1.71,29,17,1.21,13.6,37.0,31.4,7.3,3.2,96,106.45,32,6.9,7.9,0,40.6,4.4,1.81,589.13,2.4,4,-5673200467317466804,1.46,0.06
22.903142,72.638652,18.18158,76.03889,7.7,3,18,1,0,1.25,90,72,1.07,11.8,34.7,41.1,12.9,1.4,94,103.4,38,5.8,7.9,0,0.0,4.6,3.32,214.61,1.2,2,-5420625564169857028,0.07,0.22
23.020252,72.574096,25.49043,85.94001,11.3,3,11,4,0,2.33,42,18,1.4,6.3,31.4,37.4,0.7,15.9,97,106.5,29,7.0,7.9,1,0.0,1.6,2.57,341.18,2.4,4,4083414993426188388,0.4,0.18
23.069358,72.538843,14.46693,75.92694,14.1,3,17,5,0,1.66,106,64,1.2,9.0,37.6,31.4,6.9,27.73670578757227,81,110.9,23,6.1,7.9,0,0.0,4.2,3.17,427.23,2.4,4,3245514719089398746,0.77,0.24
23.036913,72.558613,33.37526,74.3092,12.1,2,17,3,0,1.47,113,77,1.14,17.2,23.7,32.0,9.8,9.3,92,101.3,29,6.7,7.9,1,0.0,4.6,5.51,318.62,2.4,4,2001504517863251443,0.28,0.24
23.038692,72.603261,24.05979,77.40858,13.3,3,12,1,0,37.0,37,1,11.8,8.7,22.8,25.8,0.6,9.3,93,102.3,37,6.8,7.9,0,26.6,4.7,3.35,1836.17,2.4,4,-2109095580513158713,6.67,0.31
22.983608,72.576614,18.18158,76.03889,4.3,4,9,3,0,2.3,46,20,1.39,18.5,30.0,45.3,9.8,11.0,126,103.65,23,7.1,7.9,1,0.0,4.4,5.51,174.51,1.2,2,-3730039142584119616,0.32,0.05
23.059469,72.535921,21.46527,83.97573,6.0,3,5,3,0,3.82,42,11,1.85,11.9,32.3,47.9,9.0,1.1,89,102.25,28,6.1,7.9,0,12.0,3.7,6.08,273.67,2.4,4,-3145272933555046397,0.15,0.14
22.978883,72.521379,21.34222,71.30633,18.3,1,12,4,0,1.68,37,22,1.2,5.8,25.4,27.3,9.5,5.0,116,103.1,31,6.2,7.9,0,0.0,3.9,5.87,480.43,2.4,4,8644403074190416295,0.96,0.48
22.996963,72.581329,16.06213,76.0586,3.7,4,0,2,0,1.31,42,32,1.09,9.0,36.4,46.9,9.5,0.5,77,103.25,25,6.7,7.9,0,0.0,4.7,3.11,138.6,1.2,2,6384194803570403954,0.39,0.22
23.064,72.505863,21.46527,83.97573,8.4,2,14,1,0,35.0,35,1,11.2,8.1,34.1,37.9,12.6,4.8,111,103.6,26,6.7,7.9,0,0.0,4.3,7.37,1076.03,1.2,2,9030363367821065428,3.51,0.12
23.040433,72.547079,25.92493,73.66633,9.1,2,23,6,0,1.34,51,38,1.1,13.1,35.9,54.4,8.4,7.9,44,102.55,23,6.0,7.9,1,0.0,3.7,8.8,240.78,1.2,2,3357024551627124815,0.01,0.42
23.108047,72.593697,23.49668,86.68363,6.4,4,10,3,0,4.43,31,7,2.03,13.8,36.9,40.3,6.7,6.4,141,101.6,22,5.8,7.9,1,12.8,3.1,2.75,313.37,2.4,4,-1647900377529092057,0.29,0.66
23.09082,72.668477,26.11527,86.59509,2.0,3,23,3,0,1.71,41,24,1.21,5.8,36.3,51.5,8.0,5.5,90,103.45,14,5.4,7.9,1,0.0,3.2,10.55,79.27,1.2,2,-8870989731398055109,0.66,0.56
23.002737,72.629365,26.2649,81.54855,7.2,1,22,5,0,1.48,49,33,1.15,16.6,29.4,49.2,8.3,2.1,134,103.15,29,6.7,7.9,0,0.0,4.6,3.79,223.78,4.8,8,-3524989743268075656,0.09,0.37
23.076692,72.599202,32.55531,76.12647,8.8,2,11,6,0,10.25,41,4,3.77,18.3,34.6,40.5,9.8,5.7,76,101.55,34,6.5,7.9,0,17.6,3.6,12.0,493.24,1.2,2,-789362956295978009,1.08,0.16
23.058462,72.468842,26.2649,81.54855,9.3,4,18,4,0,1.16,102,88,1.05,11.3,32.5,31.8,0.8,0.7,102,103.85,20,6.9,7.9,0,18.6,3.2,3.48,302.67,1.2,2,44664621162997002,0.26,0.29
22.998911,72.533699,26.76628,83.36889,2.7,2,20,6,0,1.2,79,66,1.06,9.4,36.1,30.9,8.4,19.31358403602428,124,108.65,24,6.9,7.9,1,0.0,4.2,3.86,84.01,4.8,8,4004554184504867224,0.68,0.07
23.088602,72.554664,18.87813,72.93924,9.8,4,11,4,0,34.0,34,1,10.9,5.0,21.8,25.5,12.0,11.5,89,104.0,25,6.8,7.9,0,19.6,4.9,3.12,1338.32,2.4,4,8552049538721459887,4.54,0.34
23.012669,72.517235,12.04161,75.35927,6.5,3,0,3,0,2.0,34,17,1.3,13.4,36.8,23.4,11.1,18.1,120,104.2,27,7.0,7.9,0,0.0,2.7,5.43,202.59,1.2,2,-4526233133079412301,0.12,0.34
23.062316,72.517255,9.82564,78.25795,1.0,3,2,6,0,9.25,37,4,3.48,9.2,39.5,36.7,13.2,10.323556144278909,86,109.05,19,6.9,7.9,0,2.0,3.0,5.78,110.85,1.2,2,1053574625043054195,0.57,0.48
23.035961,72.561773,25.92127,86.79271,13.2,3,15,1,0,3.88,31,8,1.86,9.2,37.0,35.2,11.3,11.8,94,103.05,26,6.3,7.9,0,0.0,3.8,6.24,445.23,4.8,8,-8660225437600598387,0.81,0.02
22.987753,72.537926,23.1959,86.51499,12.4,3,21,2,0,5.0,45,9,2.2,10.0,39.1,37.7,13.0,2.5,60,101.15,30,5.8,7.9,0,0.0,4.6,0.98,457.75,2.4,4,3230757883763378767,0.95,0.45
22.973975,72.62629,24.81757,84.63445,8.7,1,20,0,0,2.26,86,38,1.38,12.9,36.2,29.7,12.8,16.348356783006693,105,107.25,22,6.5,7.9,0,0.0,2.8,4.12,276.12,2.4,4,7647439447040818503,0.17,0.34
23.07993,72.537698,12.25282,79.41727,6.7,3,10,2,0,40.0,40,1,12.7,4.1,28.9,23.7,8.2,6.3,170,102.2,20,6.8,7.9,0,13.4,2.9,9.99,1009.24,2.4,4,-8491515061931501465,3.22,0.48
23.029636,72.559836,31.28092,74.85849,7.3,3,17,6,0,1.53,95,62,1.16,8.2,34.5,47.8,12.2,17.1,79,101.1,14,6.4,7.9,0,14.6,3.1,1.97,264.49,1.2,2,-2394897738146805363,0.11,0.2
23.011977,72.547472,24.81757,84.63445,28.9,3,3,3,0,23.5,47,2,7.75,8.9,24.9,32.7,1.1,0.9,88,101.5,24,6.9,7.9,1,0.0,4.5,8.29,2494.46,2.4,4,2691487741775138735,9.36,0.34
23.078849,72.514275,10.12268,77.54372,8.5,4,20,3,1,1.47,97,66,1.14,10.2,32.7,36.9,0.2,17.633533197391294,86,106.6,30,7.0,7.9,0,0.0,1.9,3.36,265.54,2.4,4,-5248318990386425558,0.08,0.08
23.051718,72.671854,12.1277,78.15794,17.1,6,20,1,0,1.69,83,49,1.21,15.0,30.8,35.8,11.7,5.0,90,102.75,28,6.8,7.9,0,34.2,4.4,2.41,575.08,1.2,2,-6555604002705785727,1.38,0.2
23.037367,72.513557,26.44931,91.61356,3.4,2,15,0,0,33.0,33,1,10.6,10.7,41.4,37.0,8.7,12.10553903040318,103,105.05,25,7.3,7.9,1,6.8,3.2,4.75,523.65,2.4,4,-5264970289456409818,1.19,0.24
23.03774,72.524847,25.49043,85.94001,7.6,1,11,4,0,36.0,36,1,11.5,13.6,32.3,41.5,7.4,5.2,121,105.75,54,7.4,7.9,0,0.0,3.1,3.21,1031.77,2.4,4,1699233384891299770,3.26,0.16
23.073055,72.502759,33.37526,74.3092,16.6,3,9,3,0,44.0,44,1,13.9,3.6,35.8,17.9,0.4,19.9,136,101.45,19,7.0,7.9,0,33.2,3.6,7.21,2515.55,1.2,2,-1509711060171345772,9.47,0.11
22.991263,72.626238,23.07492,88.28637,19.5,3,10,6,0,28.0,28,1,9.1,12.5,40.7,31.2,0.9,12.9,65,100.8,28,6.1,7.9,0,39.0,3.2,2.97,1964.78,4.8,8,4604335576356867052,7.2,0.45
22.980403,72.584048,25.87498,86.59611,8.3,4,17,0,0,1.84,94,51,1.25,14.9,32.9,40.2,0.9,4.8,60,99.9,34,7.0,7.9,1,0.0,4.6,1.89,264.3,1.2,2,-6438471993659492970,0.13,0.13
22.948353,72.560913,28.98002,77.70636,1.0,3,14,1,0,1.46,38,26,1.14,17.8,35.7,30.5,0.6,8.3,129,102.2,26,6.3,7.9,1,2.0,3.8,1.45,67.18,2.4,4,8019975239171504969,0.67,0.14
23.064727,72.574226,24.41288,76.56719,11.4,2,18,3,0,1.23,86,70,1.07,4.8,24.5,36.7,0.05,3.9,106,102.2,16,6.5,7.9,1,0.0,4.2,12.0,301.09,2.4,4,-7845356367300717426,0.25,0.3
22.996617,72.611089,17.34769,78.55757,4.0,1,17,4,0,1.27,103,81,1.08,10.9,40.9,52.5,0.5,2.3,95,103.5,19,6.5,7.9,1,8.0,3.2,4.2,133.9,2.4,4,-8006266653683099392,0.4,0.31
